EVTYPE,EVENTTEMP,EVENTPRECIP,EVENTWIND,EVENTELECTRICAL,EVENTFLOOD,EVENTSEAS,EVENT EROSION,EVENTCOMBUSTION
MARINE HIGH WIND,,,,,,MARINE HIGH WINDS,,
MARINE MISHAP,,,,,,MARINE ICING,,
MARINE STRONG WIND,,,,,,MARINE HIGH WINDS,,
MARINE THUNDERSTORM W,,,,,,MARINE THUNDERSTORM,,
MARINE TSTM WIND,,THUNDERSTORM,WIND,,,MARINE THUNDERSTORM,,
"Metro Storm, May 26",,THUNDERSTORM,WIND,,,,,
MICROBURST WINDS,,,MICROBURST,,,,,
MICROBURST,,,MICROBURST,,,,,
Microburst,,,MICROBURST,,,,,
Mild and Dry Pattern,MILD,DRY,,,,,,
MILD PATTERN,MILD,DRY,,,,,,
MILD/DRY PATTERN,MILD,DRY,,,,,,
MINOR FLOOD,,,,,FLOOD,,,
Minor Flooding,,,,,FLOOD,,,
MINOR FLOODING,,,,,FLOOD,,,
MIXED PRECIP,,MIXED,,,,,,
Mixed Precipitation,,MIXED,,,,,,
MIXED PRECIPITATION,,MIXED,,,,,,
MODERATE SNOW,,SNOW,,,,,,
MODERATE SNOWFALL,,SNOW,,,,,,
MONTHLY PRECIPITATION,,MONTHLY RAIN,,,,,,
MONTHLY RAINFALL,,MONTHLY RAIN,,,,,,
Monthly Rainfall,,MONTHLY RAIN,,,,,,
Monthly Snowfall,,MONTHLY SNOW,,,,,,
MONTHLY SNOWFALL,,MONTHLY SNOW,,,,,,
MONTHLY TEMPERATURE,MONTHLY TEMPERATURE,,,,,,,
Mountain Snows,,MOUNTAIN SNOW,,,,,,
MUD SLIDE,,,,,,,MUDSLIDE,
MUD SLIDES URBAN FLOODING,,,,,URBAN FLOOD,,MUDSLIDE,
MUD SLIDES,,,,,,,MUDSLIDE,
MUD/ROCK SLIDE,,,,,,,MUDSLIDE,
Mudslide,,,,,,,MUDSLIDE,
MUDSLIDE,,,,,,,MUDSLIDE,
MUDSLIDE/LANDSLIDE,,,,,,,MUDSLIDE,
Mudslides,,,,,,,MUDSLIDE,
MUDSLIDES,,,,,,,MUDSLIDE,
NEAR RECORD SNOW,,RECORD SNOW,,,,,,
No Severe Weather,,,,,,,,
NON SEVERE HAIL,,HAIL,,,,,,
NON TSTM WIND,,,WIND,,,,,
NONE,,,,,,,,
NON-SEVERE WIND DAMAGE,,,WIND,,,,,
NON-TSTM WIND,,,WIND,,,,,
NORMAL PRECIPITATION,,NORMAL PRECIPITATION,,,,,,
NORTHERN LIGHTS,,,,NORTHERN LIGHTS,,,,
OTHER,,OTHER,,,,,,
Other,,OTHER,,,,,,
PATCHY DENSE FOG,,FOG,,,,,,
PATCHY ICE,PATHCY ICE,,,,,,,
Prolong Cold,PROLONGED COLD,,,,,,,
PROLONG COLD,PROLONGED COLD,,,,,,,
PROLONG COLD/SNOW,PROLONGED COLD,SNOW,,,,,,
PROLONG WARMTH,PROLONGED WARMTH,,,,,,,
PROLONGED RAIN,,PROLONGED RAIN,,,,,,
RAIN (HEAVY),,HEAVY RAIN,,,,,,
RAIN AND WIND,,RAIN,WIND,,,,,
Rain Damage,,RAIN,,,,,,
RAIN,,RAIN,,,,,,
RAIN/SNOW,,RAIN,,,,,,
RAIN/WIND,,RAIN,WIND,,,,,
RAINSTORM,,RAIN,,,,,,
RAPIDLY RISING WATER,,,,,RAPIDLY RISING WATER,,,
RECORD  COLD,RECORD COLD,,,,,,,
RECORD COLD AND HIGH WIND,RECORD COLD,,,,,,,
RECORD COLD,RECORD COLD,,,,,,,
Record Cold,RECORD COLD,,,,,,,
RECORD COLD/FROST,RECORD COLD,,,,,,,
RECORD COOL,RECORD COLD,,,,,,,
Record dry month,,RECORD DRY,,,,,,
RECORD DRYNESS,,RECORD DRY,,,,,,
RECORD HEAT WAVE,RECORD HEAT,,,,,,,
Record Heat,RECORD HEAT,,,,,,,
RECORD HEAT,RECORD HEAT,,,,,,,
RECORD HIGH TEMPERATU,RECORD HEAT,,,,,,,
RECORD HIGH TEMPERATURES,RECORD HEAT,,,,,,,
Record High,RECORD HEAT,,,,,,,
RECORD HIGH,,,RECORD HIGH PRESSURE,,,,,
RECORD LOW RAINFALL,,RECORD LOW RAINFALL,,,,,,
RECORD LOW,,,RECORD LOW PRESSURE,,,,,
Record May Snow,,RECORD SNOW,,,,,,
RECORD PRECIPITATION,,RECORD PRECIPITATION,,,,,,
RECORD RAINFALL,,RECORD RAIN,,,,,,
RECORD SNOW,,RECORD SNOW,,,,,,
RECORD SNOW/COLD,RECORD COLD,RECORD SNOW,,,,,,
RECORD SNOWFALL,,RECORD SNOW,,,,,,
Record temperature,RECORD HEAT,,,,,,,
RECORD TEMPERATURE,RECORD HEAT,,,,,,,
RECORD TEMPERATURES,RECORD HEAT,,,,,,,
Record Temperatures,RECORD HEAT,,,,,,,
RECORD WARM TEMPS.,RECORD HEAT,,,,,,,
RECORD WARM,RECORD HEAT,,,,,,,
Record Warmth,RECORD HEAT,,,,,,,
RECORD WARMTH,RECORD HEAT,,,,,,,
Record Winter Snow,,RECORD SNOW,,,,,,
RECORD/EXCESSIVE HEAT,RECORD HEAT,,,,,,,
RECORD/EXCESSIVE RAINFALL,,RECORD RAIN,,,,,,
RED FLAG CRITERIA,,,,,,,,RED FLAG WEATHER
RED FLAG FIRE WX,,,,,,,,RED FLAG WEATHER
REMNANTS OF FLOYD,,HURRICAN,,,,,,
RIP CURRENT,,,,,,RIP CURRENT,,
RIP CURRENTS HEAVY SURF,,,,,,HEAVY SURF,,
RIP CURRENTS,,,,,,RIP CURRENT,,
RIP CURRENTS/HEAVY SU,,,,,,RIP CURRENT,,
RIVER AND STREAM FLOOD,,,,,RIVER FLOOD,,,
RIVER FLOOD,,,,,RIVER FLOOD,,,
RIVER FLOODING,,,,,RIVER FLOOD,,,
River Flooding,,,,,RIVER FLOOD,,,
ROCK SLIDE,,,,,,,ROCK SLIDE,
ROGUE WAVE,,,,,,ROGUE WAVE,,
ROTATING WALL CLOUD,,TORNADO,,,,,,
ROUGH SEAS,,,,,,ROUGH SEAS,,
ROUGH SURF,,,,,,ROUGH SURF,,
RURAL FLOOD,,,,,URBAN FLOOD,,,
Saharan Dust,,SAHARAN DUST,,,,,,
SAHARAN DUST,,SAHARAN DUST,,,,,,
Seasonal Snowfall,,SEASONAL SNOW,,,,,,
SEICHE,,,,,,SEICHE,,
SEVERE COLD,COLD,,,,,,,
SEVERE THUNDERSTORM WINDS,,THUNDERSTORM,WIND,,,,,
SEVERE THUNDERSTORM,,THUNDERSTORM,,,,,,
SEVERE THUNDERSTORMS,,THUNDERSTORM,,,,,,
SEVERE TURBULENCE,,,TURBULENCE,,,,,
SLEET & FREEZING RAIN,,SLEET,,,,,,
SLEET STORM,,SLEET,,,,,,
SLEET,,SLEET,,,,,,
SLEET/FREEZING RAIN,,SLEET,,,,,,
SLEET/ICE STORM,,SLEET,,,,,,
SLEET/RAIN/SNOW,,SLEET,,,,,,
SLEET/SNOW,,SLEET,,,,,,
Small Hail,,HAIL,,,,,,
SMALL HAIL,,HAIL,,,,,,
small hail,,HAIL,,,,,,
SMALL STREAM AND URBA,,,,,URBAN FLOOD,,,
SMALL STREAM AND URBAN FLOOD,,,,,URBAN FLOOD,,,
SMALL STREAM AND,,,,,STREAM FLOOD,,,
SMALL STREAM FLOOD,,,,,STREAM FLOOD,,,
SMALL STREAM FLOODING,,,,,STREAM FLOOD,,,
SMALL STREAM URBAN FL,,,,,URBAN FLOOD,,,
SMALL STREAM,,,,,STREAM FLOOD,,,
SMALL STREAM/URBAN FLOOD,,,,,URBAN FLOOD,,,
Sml Stream Fld,,,,,STREAM FLOOD,,,
SMOKE,,,,,,,,SMOKE
Snow Accumulation,,SNOW ACCUMULATION,,,,,,
SNOW ACCUMULATION,,SNOW ACCUMULATION,,,,,,
SNOW ADVISORY,,SNOW ADVISORY,,,,,,
SNOW AND COLD,COLD,SNOW,,,,,,
SNOW AND HEAVY SNOW,,SNOW,,,,,,
SNOW AND ICE STORM,,SNOW,,,,,,
SNOW AND ICE,,SNOW,,,,,,
Snow and Ice,,SNOW,,,,,,
SNOW AND SLEET,,SNOW,,,,,,
Snow and sleet,,SNOW,,,,,,
SNOW AND WIND,,SNOW,WIND,,,,,
SNOW DROUGHT,,SNOW DROUGHT,,,,,,
SNOW FREEZING RAIN,,FREEZING RAIN,,,,,,
SNOW- HIGH WIND- WIND,,SNOW,HIGH WINDS,,,,,
SNOW SHOWERS,,SNOW,,,,,,
SNOW SLEET,,SLEET,,,,,,
SNOW SQUALL,,SNOW,,,,,,
SNOW SQUALLS,,SNOW,,,,,,
Snow squalls,,SNOW,,,,,,
Snow Squalls,,SNOW,,,,,,
Snow,,SNOW,,,,,,
SNOW,,SNOW,,,,,,
SNOW/ BITTER COLD,COLD,SNOW,,,,,,
SNOW/ ICE,,SNOW,,,,,,
SNOW/BLOWING SNOW,,SNOW,,,,,,
SNOW/COLD,COLD,SNOW,,,,,,
SNOW/FREEZING RAIN,,FREEZING RAIN,,,,,,
SNOW/HEAVY SNOW,,HEAVY SNOW,,,,,,
SNOW/HIGH WINDS,,SNOW,HIGH WINDS,,,,,
SNOW/ICE STORM,,SNOW,,,,,,
SNOW/ICE,,SNOW,,,,,,
SNOW/RAIN,,SNOW,,,,,,
SNOW/RAIN/SLEET,,SLEET,,,,,,
SNOW/SLEET,,SLEET,,,,,,
SNOW/SLEET/FREEZING RAIN,,SLEET,,,,,,
SNOW/SLEET/RAIN,,SLEET,,,,,,
SNOW\\COLD,COLD,SNOW,,,,,,
SNOWFALL RECORD,,RECORD SNOW,,,,,,
SNOWMELT FLOODING,,,,,SNOWMELT FLOOD,,,
SNOWSTORM,,SNOW,,,,,,
SOUTHEAST,,,,,,,,
STORM FORCE WINDS,,,HIGH WINDS,,,,,
STORM SURGE,,,,,,STORM SURGE,,
STORM SURGE/TIDE,,,,,,STORM SURGE,,
STREAM FLOODING,,,,,STREAM FLOOD,,,
STREET FLOOD,,,,,STREET FLOOD,,,
STREET FLOODING,,,,,STREET FLOOD,,,
STRONG WIND GUST,,,STRONG WIND GUST,,,,,
STRONG WIND,,,WIND,,,,,
Strong Wind,,,WIND,,,,,
Strong Winds,,,WIND,,,,,
STRONG WINDS,,,WIND,,,,,
Strong winds,,,WIND,,,,,
Summary August 10,,,,,,,,
Summary August 11,,,,,,,,
Summary August 17,,,,,,,,
Summary August 21,,,,,,,,
Summary August 2-3,,,,,,,,
Summary August 28,,,,,,,,
Summary August 4,,,,,,,,
Summary August 7,,,,,,,,
Summary August 9,,,,,,,,
Summary Jan 17,,,,,,,,
Summary July 23-24,,,,,,,,
Summary June 18-19,,,,,,,,
Summary June 5-6,,,,,,,,
Summary June 6,,,,,,,,
Summary of April 12,,,,,,,,
Summary of April 13,,,,,,,,
Summary of April 21,,,,,,,,
Summary of April 27,,,,,,,,
Summary of April 3rd,,,,,,,,
Summary of August 1,,,,,,,,
Summary of July 11,,,,,,,,
Summary of July 2,,,,,,,,
Summary of July 22,,,,,,,,
Summary of July 26,,,,,,,,
Summary of July 29,,,,,,,,
Summary of July 3,,,,,,,,
Summary of June 10,,,,,,,,
Summary of June 11,,,,,,,,
Summary of June 12,,,,,,,,
Summary of June 13,,,,,,,,
Summary of June 15,,,,,,,,
Summary of June 16,,,,,,,,
Summary of June 18,,,,,,,,
Summary of June 23,,,,,,,,
Summary of June 24,,,,,,,,
Summary of June 3,,,,,,,,
Summary of June 30,,,,,,,,
Summary of June 4,,,,,,,,
Summary of June 6,,,,,,,,
Summary of March 14,,,,,,,,
Summary of March 23,,,,,,,,
Summary of March 24,,,,,,,,
SUMMARY OF MARCH 24-2,,,,,,,,
SUMMARY OF MARCH 27,,,,,,,,
SUMMARY OF MARCH 29,,,,,,,,
Summary of May 10,,,,,,,,
Summary of May 13,,,,,,,,
Summary of May 14,,,,,,,,
Summary of May 22 am,,,,,,,,
Summary of May 22 pm,,,,,,,,
Summary of May 22,,,,,,,,
Summary of May 26 am,,,,,,,,
Summary of May 26 pm,,,,,,,,
Summary of May 31 am,,,,,,,,
Summary of May 31 pm,,,,,,,,
Summary of May 9-10,,,,,,,,
Summary Sept. 25-26,,,,,,,,
Summary September 20,,,,,,,,
Summary September 23,,,,,,,,
Summary September 3,,,,,,,,
Summary September 4,,,,,,,,
Summary: Nov. 16,,,,,,,,
Summary: Nov. 6-7,,,,,,,,
Summary: Oct. 20-21,,,,,,,,
Summary: October 31,,,,,,,,
Summary: Sept. 18,,,,,,,,
Temperature record,HEAT,,,,,,,
THUDERSTORM WINDS,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDEERSTORM WINDS,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERESTORM WINDS,,THUNDERSTORM,HIGH WINDS,,,,,
Thundersnow shower,,THUNDERSNOW,,,,,,
THUNDERSNOW,,THUNDERSNOW,,,,,,
THUNDERSTORM  WINDS,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM DAMAGE T,,THUNDERSTORM,,,,,,
THUNDERSTORM DAMAGE,,THUNDERSTORM,,,,,,
THUNDERSTORM HAIL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM W INDS,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND (G40),,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 50,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 52,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 56,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 59 MPH,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 59 MPH.,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 59,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 60,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 65 MPH,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 65MPH,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 69,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND 98 MPH,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G50,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G51,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G52,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G55,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G60,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND G61,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND TREES,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND,,THUNDERSTORM,HIGH WINDS,,,,,
Thunderstorm Wind,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WIND.,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WIND/ TREE,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WIND/ TREES,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WIND/AWN,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WIND/HAIL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WIND/LIGHTNING,,THUNDERSTORM,WIND,LIGHTNING,,,,
THUNDERSTORM WINDS      LE CEN,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 13,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS 2,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS 50,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 52,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 53,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 60,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 61,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 62,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS 63 MPH,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS AND,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS FU,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS G,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS G60,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS HA,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS HEAVY RAIN,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS LIGHTNING,,THUNDERSTORM,WIND,LIGHTNING,,,,
THUNDERSTORM WINDS SM,,THUNDERSTORM,HIGH WINDS,,,,,
THUNDERSTORM WINDS URBAN FLOOD,,THUNDERSTORM,WIND,,URBAN FLOOD,,,
THUNDERSTORM WINDS,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS.,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/ F,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/ HAIL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/FL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/FLASH FLOOD,,THUNDERSTORM,WIND,,FLASH FLOOD,,,
THUNDERSTORM WINDS/FUNNEL CLOU,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/HAIL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS/HE,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDS53,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDSHAIL,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINDSS,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM WINS,,THUNDERSTORM,WIND,,,,,
THUNDERSTORM,,THUNDERSTORM,,,,,,
THUNDERSTORMS WIND,,THUNDERSTORM,WIND,,,,,
THUNDERSTORMS WINDS,,THUNDERSTORM,WIND,,,,,
THUNDERSTORMS,,THUNDERSTORM,,,,,,
THUNDERSTORMW 50,,THUNDERSTORM,WIND,,,,,
THUNDERSTORMW WINDS,,THUNDERSTORM,WIND,,,,,
THUNDERSTORMW,,THUNDERSTORM,WIND,,,,,
THUNDERSTORMWINDS,,THUNDERSTORM,WIND,,,,,
THUNDERSTROM WIND,,THUNDERSTORM,WIND,,,,,
THUNDERSTROM WINDS,,THUNDERSTORM,WIND,,,,,
THUNDERTORM WINDS,,THUNDERSTORM,WIND,,,,,
THUNDERTSORM WIND,,THUNDERSTORM,WIND,,,,,
THUNDESTORM WINDS,,THUNDERSTORM,WIND,,,,,
THUNERSTORM WINDS,,THUNDERSTORM,WIND,,,,,
TIDAL FLOOD,,,,,COASTAL FLOOD,HIGH TIDE,,
Tidal Flooding,,,,,COASTAL FLOOD,HIGH TIDE,,
TIDAL FLOODING,,,,,COASTAL FLOOD,HIGH TIDE,,
TORNADO DEBRIS,,,TORNADO,,,,,
TORNADO F0,,,TORNADO,,,,,
TORNADO F1,,,TORNADO,,,,,
TORNADO F2,,,TORNADO,,,,,
TORNADO F3,,,TORNADO,,,,,
TORNADO,,,TORNADO,,,,,
TORNADO/WATERSPOUT,,,TORNADO,,,WATERSPOUT,,
TORNADOES,,,TORNADO,,,,,
"TORNADOES, TSTM WIND, HAIL",,THUNDERSTORM,TORNADO,,,,,
TORNADOS,,,TORNADO,,,,,
TORNDAO,,,TORNADO,,,,,
TORRENTIAL RAIN,,TORRENTIAL RAIN,,,,,,
Torrential Rainfall,,TORRENTIAL RAIN,,,,,,
TROPICAL DEPRESSION,,TROPICAL DEPRESSION,,,,,,
TROPICAL STORM ALBERT,,TROPICAL STORM,,,,,,
TROPICAL STORM DEAN,,TROPICAL STORM,,,,,,
TROPICAL STORM GORDON,,TROPICAL STORM,,,,,,
TROPICAL STORM JERRY,,TROPICAL STORM,,,,,,
TROPICAL STORM,,TROPICAL STORM,,,,,,
TSTM HEAVY RAIN,,THUNDERSTORM,,,,,,
TSTM WIND  (G45),,THUNDERSTORM,WIND,,,,,
TSTM WIND (41),,THUNDERSTORM,WIND,,,,,
TSTM WIND (G35),,THUNDERSTORM,WIND,,,,,
TSTM WIND (G40),,THUNDERSTORM,WIND,,,,,
TSTM WIND (G45),,THUNDERSTORM,WIND,,,,,
TSTM WIND 40,,THUNDERSTORM,WIND,,,,,
TSTM WIND 45,,THUNDERSTORM,WIND,,,,,
TSTM WIND 50,,THUNDERSTORM,WIND,,,,,
TSTM WIND 51,,THUNDERSTORM,WIND,,,,,
TSTM WIND 52,,THUNDERSTORM,WIND,,,,,
TSTM WIND 55,,THUNDERSTORM,WIND,,,,,
TSTM WIND 65),,THUNDERSTORM,WIND,,,,,
TSTM WIND AND LIGHTNING,,THUNDERSTORM,WIND,LIGHTNING,,,,
TSTM WIND DAMAGE,,THUNDERSTORM,WIND,,,,,
TSTM WIND G45,,THUNDERSTORM,WIND,,,,,
TSTM WIND G58,,THUNDERSTORM,WIND,,,,,
TSTM WIND,,THUNDERSTORM,WIND,,,,,
Tstm Wind,,THUNDERSTORM,WIND,,,,,
TSTM WIND/HAIL,,THUNDERSTORM,WIND,,,,,
TSTM WINDS,,THUNDERSTORM,WIND,,,,,
TSTM WND,,THUNDERSTORM,WIND,,,,,
TSTM,,THUNDERSTORM,,,,,,
TSTMW,,THUNDERSTORM,,,,,,
TSUNAMI,,,,,,TIDAL WAVE,,
TUNDERSTORM WIND,,THUNDERSTORM,WIND,,,,,
TYPHOON,,TYPHOON,,,,,,
Unseasonable Cold,UNSEASONABLE COLD,,,,,,,
UNSEASONABLY COLD,UNSEASONABLE COLD,,,,,,,
UNSEASONABLY COOL & WET,UNSEASONABLE COOL,,,,,,,
UNSEASONABLY COOL,UNSEASONABLE COOL,,,,,,,
UNSEASONABLY DRY,,UNSEASONABLE DRY,,,,,,
UNSEASONABLY HOT,UNSEASONABLE HOT,,,,,,,
UNSEASONABLY WARM & WET,UNSEASONABLE WARM,,,,,,,
UNSEASONABLY WARM AND,UNSEASONABLE WARM,,,,,,,
UNSEASONABLY WARM YEAR,UNSEASONABLE WARM,,,,,,,
UNSEASONABLY WARM,UNSEASONABLE WARM,,,,,,,
UNSEASONABLY WARM/WET,UNSEASONABLE WARM,,,,,,,
UNSEASONABLY WET,,UNESASONABLE WET,,,,,,
UNSEASONAL LOW TEMP,UNSEASONABLE COOL,,,,,,,
UNSEASONAL RAIN,,UNESASONABLE WET,,,,,,
UNUSUAL WARMTH,UNSEASONABLE WARM,,,,,,,
UNUSUAL/RECORD WARMTH,UNSEASONABLE WARM,,,,,,,
UNUSUALLY COLD,UNSEASONABLE COLD,,,,,,,
UNUSUALLY LATE SNOW,,UNSEASONABLE SNOW,,,,,,
UNUSUALLY WARM,UNSEASONABLE WARM,,,,,,,
URBAN AND SMALL STREA,,,,,URBAN FLOOD,,,
URBAN AND SMALL STREAM FLOOD,,,,,URBAN FLOOD,,,
URBAN AND SMALL STREAM FLOODIN,,,,,URBAN FLOOD,,,
URBAN AND SMALL,,,,,URBAN FLOOD,,,
URBAN FLOOD LANDSLIDE,,,,,URBAN FLOOD,,LANDSLIDE,
Urban Flood,,,,,URBAN FLOOD,,,
URBAN FLOOD,,,,,URBAN FLOOD,,,
Urban flood,,,,,URBAN FLOOD,,,
Urban Flooding,,,,,URBAN FLOOD,,,
URBAN FLOODING,,,,,URBAN FLOOD,,,
URBAN FLOODS,,,,,URBAN FLOOD,,,
URBAN SMALL STREAM FLOOD,,,,,URBAN FLOOD,,,
URBAN SMALL,,,,,URBAN FLOOD,,,
URBAN/SMALL FLOODING,,,,,URBAN FLOOD,,,
URBAN/SMALL STREAM  F,,,,,URBAN FLOOD,,,
URBAN/SMALL STREAM FLOOD,,,,,URBAN FLOOD,,,
URBAN/SMALL STREAM FLOODING,,,,,URBAN FLOOD,,,
URBAN/SMALL STREAM,,,,,URBAN FLOOD,,,
URBAN/SMALL STRM FLDG,,,,,URBAN FLOOD,,,
URBAN/SMALL,,,,,URBAN FLOOD,,,
URBAN/SML STREAM FLD,,,,,URBAN FLOOD,,,
URBAN/SML STREAM FLDG,,,,,URBAN FLOOD,,,
URBAN/STREET FLOODING,,,,,URBAN FLOOD,,,
VERY DRY,,DRY,,,,,,
VERY WARM,HEAT,,,,,,,
VOG,,VOLCANIC SMOG,,,,,,
Volcanic Ash Plume,,VOLCANIC ASH,,,,,,
Volcanic Ash,,VOLCANIC ASH,,,,,,
VOLCANIC ASH,,VOLCANIC ASH,,,,,,
VOLCANIC ASHFALL,,VOLCANIC ASH,,,,,,
VOLCANIC ERUPTION,,VOLCANIC ERUPTION,,,,,,
WAKE LOW WIND,,,WAKE LOW WIND,,,,,
WALL CLOUD,,TORNADO,,,,,,
WALL CLOUD/FUNNEL CLOUD,,TORNADO,,,,,,
WARM DRY CONDITIONS,WARM,DRY,,,,,,
WARM WEATHER,WARM,,,,,,,
WATER SPOUT,,,,,,WATERSPOUT,,
WATERSPOUT FUNNEL CLO,,,,,,WATERSPOUT,,
WATERSPOUT TORNADO,,,TORNADO,,,WATERSPOUT,,
WATERSPOUT,,,,,,WATERSPOUT,,
WATERSPOUT-,,,,,,WATERSPOUT,,
WATERSPOUT/ TORNADO,,,TORNADO,,,WATERSPOUT,,
WATERSPOUT/,,,,,,WATERSPOUT,,
WATERSPOUT/TORNADO,,,TORNADO,,,WATERSPOUT,,
WATERSPOUTS,,,,,,WATERSPOUT,,
WATERSPOUT-TORNADO,,,TORNADO,,,WATERSPOUT,,
WAYTERSPOUT,,,,,,WATERSPOUT,,
wet micoburst,,WET,MICROBURST,,,,,
WET MICROBURST,,WET,MICROBURST,,,,,
Wet Month,,WET,,,,,,
WET SNOW,,WET SNOW,,,,,,
WET WEATHER,,WET,,,,,,
Wet Year,,WET,,,,,,
Whirlwind,,,WHIRLWIND,,,,,
WHIRLWIND,,,WHIRLWIND,,,,,
WILD FIRES,,,,,,,,WILD FIRE
WILD/FOREST FIRE,,,,,,,,WILD FIRE
WILD/FOREST FIRES,,,,,,,,WILD FIRE
WILDFIRE,,,,,,,,WILD FIRE
WILDFIRES,,,,,,,,WILD FIRE
WIND ADVISORY,,,WIND,,,,,
WIND AND WAVE,,,,,,HIGH SURF,,
WIND CHILL,WIND CHILL,,,,,,,
WIND CHILL/HIGH WIND,WIND CHILL,,HIGH WINDS,,,,,
Wind Damage,,,WIND,,,,,
WIND DAMAGE,,,WIND,,,,,
WIND GUSTS,,,WIND,,,,,
WIND STORM,,,WIND,,,,,
Wind,,,WIND,,,,,
WIND,,,WIND,,,,,
WIND/HAIL,,HAIL,WIND,,,,,
WINDS,,,WIND,,,,,
WINTER MIX,,WINTER MIX,,,,,,
WINTER STORM HIGH WINDS,,WINTER STORM,HIGH WINDS,,,,,
WINTER STORM,,WINTER STORM,,,,,,
WINTER STORM/HIGH WIN,,WINTER STORM,HIGH WINDS,,,,,
WINTER STORM/HIGH WIND,,WINTER STORM,HIGH WINDS,,,,,
WINTER STORMS,,WINTER STORM,,,,,,
WINTER WEATHER MIX,,WINTER WEATHER,,,,,,
Winter Weather,,WINTER WEATHER,,,,,,
WINTER WEATHER,,WINTER WEATHER,,,,,,
WINTER WEATHER/MIX,,WINTER WEATHER,,,,,,
WINTERY MIX,,WINTRY MIX,,,,,,
Wintry mix,,WINTRY MIX,,,,,,
Wintry Mix,,WINTRY MIX,,,,,,
WINTRY MIX,,WINTRY MIX,,,,,,
WND,,,WIND,,,,,
